partnerID,country,region_state,day,month,year,voter_gender,voter_year_of_birth,education_level,priority1,priority2,priority3,priority4,priority5,priority6,suggested_priority
MDGsNG,Nigeria,Delta,14,3,2013,Male,1973,2,109,103,104,108,101,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1992,3,109,104,108,101,102,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1993,2,109,103,104,108,101,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1996,3,109,103,104,108,101,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1996,2,109,103,104,108,101,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1997,2,109,103,104,108,101,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1967,1,109,103,104,108,101,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1947,1,109,103,104,108,101,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1970,3,106,103,104,108,113,101,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1994,2,109,106,103,101,102,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1938,3,109,106,104,108,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1963,2,109,104,108,113,101,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1948,2,103,104,101,102,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1948,2,103,104,108,101,103,105,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1991,2,103,114,104,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1997,2,112,104,108,111,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1983,4,106,107,108,113,102,105,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1988,4,106,104,108,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1954,3,109,106,103,107,104,108,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1994,3,112,106,103,104,108,105,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1975,2,104,108,111,102,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1948,2,106,103,104,108,101,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1994,3,109,106,103,107,104,108,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1987,3,109,106,104,108,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1951,4,106,104,101,102,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1997,2,102,114,104,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1994,3,112,104,108,102,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1994,3,112,106,103,104,108,105,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1978,2,109,106,103,108,101,105,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1988,4,106,103,104,108,111,105,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1988,2,106,103,104,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1965,2,109,103,108,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1997,3,109,103,104,108,101,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1971,2,109,104,101,102,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1987,4,109,103,104,108,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1946,2,109,103,104,108,101,105,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1993,4,109,106,104,101,111,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1963,1,109,106,103,104,108,101,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1994,3,109,104,108,101,102,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1966,2,109,106,104,108,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1994,3,106,104,113,101,111,105,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1967,4,109,106,104,108,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1986,3,109,103,104,108,101,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1993,3,109,103,108,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1995,3,106,107,104,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1973,3,112,103,104,101,111,115,
